index,Name,# Features,# Categorical Features,# Instances,# Classes,# NaNs,Minority Class Size,id,roc,pred_time,cross_entropy,accuracy
243,ar1,30,1,121,2,0,9,1059,0.7280701754385964,0.04108285903930664,0.2255086508258933,0.9344262295081968
244,analcatdata_boxing1,4,4,120,2,0,42,448,0.6708571428571429,0.04950547218322754,0.6956844609851639,0.55
245,rabe_266,3,1,120,2,0,57,782,0.9955506117908788,0.029567718505859375,0.20405662991925055,0.9333333333333333
246,robot-failures-lp4,91,1,117,3,0,21,1519,0.9876845376845377,0.08974814414978027,0.24726201631760192,0.9661016949152542
247,visualizing_environmental,4,1,111,2,0,53,736,0.7754010695187166,0.03381800651550293,0.641558592340776,0.625
248,cloud,8,2,108,2,0,32,890,0.4539473684210526,0.030046463012695312,0.6113046220055333,0.7037037037037037
249,analcatdata_michiganacc,4,3,108,2,0,48,771,0.8380681818181819,0.04111766815185547,0.5544093473366013,0.6851851851851852
250,ar4,30,1,107,2,0,20,1061,0.8068181818181819,0.052780866622924805,0.3877166286455812,0.8703703703703703
252,breast-tissue,10,1,106,6,0,14,1465,0.7228813108850224,0.03113269805908203,1.5803929567337036,0.4339622641509434
253,ar6,30,1,101,2,0,15,1064,0.7613636363636364,0.04017043113708496,0.6373662270751654,0.7843137254901961
254,zoo,17,16,101,7,0,4,62,0.994047619047619,0.050077199935913086,0.21739965586882545,0.9411764705882353
255,fertility,10,1,100,2,0,12,1473,0.6956521739130435,0.030950069427490234,0.28240740090608596,0.92
256,analcatdata_creditscore,7,4,100,2,0,27,461,0.8787878787878788,0.07585978507995605,0.5781748297117884,0.76
257,blogger,6,6,100,2,0,32,1463,0.8310696095076401,0.0506596565246582,0.540178180783987,0.74
258,analcatdata_chlamydia,4,4,100,2,0,19,875,0.9974999999999999,0.03499245643615723,0.17941070233471693,0.9
259,analcatdata_neavote,3,2,100,2,0,7,865,0.6739130434782609,0.03233695030212402,0.307466043215245,0.92
